TRI_FACILITY_ID,REGION,FAC_LONGITUDE,FAC_LATITUDE
08046WLLNGIRONS,2,745458,400152
28402WLMNGHWY42,4,775715,341614
18103MBLLL1134N,3,752553,403737
06110THWRM60WOO,1,724344,414337
99019HWLTT1620S,10,1182010,474430
65625JSTNB11THA,7,935321,364058
95425WNWRL26150,9,1225815,384543
93447WNWRL7000H,9,1203400,354000
14210MBLLB625EL,2,784957,425140
17111MBLLH5140P,3,764807,401521
79415TCHNC4501B,6,1015457,333801
07095LPHSS2AMBO,2,741600,403300
32809CHMCN8120S,4,812152,282701
44622NNCMP875HA,5,812831,403029
10550LLTXL120SA,2,735330,405430
73536HLLBREASTS,6,975637,342921
44707BPXPL807HA,5,802147,404728
18017PHNXT1185W,3,752100,403730
92631WNNCS1257S,9,1175316,335137
43724JPTRNRTE4X,5,813200,394400
29602JPSTMCOMME,4,822603,344856
7972WRWHDG527MC,6,,
22604SPRMB1515T,3,780919,391301
29687STVNSMILLS,4,821717,345511
5021WJHNDR49EPA,7,,
17049HPMCGPARTE,3,0,0
98632WLTCH1203C,10,1225507,460715
30083CNTNR5853E,4,841130,304812
87113SLMXN5031S,6,1053510,351145
79936DLLCT1462L,6,1061844,314447
45714KSRLMFARSO,5,813935,391653
17552WLTNR950SQ,3,763137,400651
13676MDSPC547AS,2,745945,444244
49506JSJCR3800S,5,853100,425451
02719WLLMF12HOW,1,705410,413922
48150STHWN118SE,5,,
60609JSLYN969W3,5,873903,414944
48706TRVRS13544,5,845122,433656
46721FFLTD4211C,5,845345,412241
44902WHTCN246EA,5,823023,404537
38351JHNSN659NA,4,882300,354042
40213JHNSN3200F,4,854227,380423
29483MRCNP475IN,4,801406,330316
4817WCDLLC1351H,5,,
47331WHTCN2000I,5,850826,393950
97424WYRHSUSHWY,10,1230237,454738
23359JHNWTROUTE,3,753526,375225
95352WYRHSPOBOX,9,,
48183MRTHN24400,5,831617,420757
97402STTSN95NOR,10,1230745,440342
25130HBTMNUSRT1,3,815115,380640
53212JHNSN3713N,5,875400,430300
17405YTHHYEBERL,3,764721,395656
12188HNRYC430HU,2,734500,420400
29044FNNCH200WA,4,800623,330826
30077HRMNM1000M,4,841938,341240
5058WTHHLL229EX,7,,
55418WHRLR1515C,5,931500,450000
49250JNSVL3980B,5,843953,414755
77020DNLRD5606H,6,951859,294537
12477TRSRC1TOMS,2,735800,420500
43725NCRCR800CO,5,813359,400055
53190WHTWTHWYUF,5,884330,425100
23324LCHMFFOOTO,3,300534,860000
1507WRNKRP2GREG,3,,
74070JHNZNWESTO,6,960004,362102
15853LPNPRTANNE,3,784444,412525
98032CTLRH18657,10,1221438,472610
74158CMBRC4103D,6,955548,361048
45036SMTML3800C,5,841447,392247
60062DNLWD3411W,5,875230,421030
32254CNMST140SO,4,814518,301845
3272WMSCHM3296G,4,,
48441THNTR30BUE,5,823859,435046
11801LSYMN270DU,2,733129,404546
62454DNCRPSOUTH,5,874331,385848
39117BCRGR4718H,4,894015,322056
66204RTXMN7600W,7,944207,385745
27278WHTFRHWY70,4,,
01752KHLRM123FE,1,713435,422040
32962HRCLS7625N,4,802857,273505
19137RCHMN3901N,3,750426,395906
19380CRYDN955RI,3,745348,400447
25143MNSNT1MONS,3,815044,382613
03866PRMTN216AI,1,705550,431720
66434WLDTL13THP,7,953253,395059
12072WHTMPRIVER,2,742110,425642
84016HRCLSFREEP,8,1120136,410536
5163WHHTRL222NR,7,,
08027HRCLSNORTH,2,751651,394943
79124MRLLR4200W,6,1015311,351557
80925CLRDS7810D,8,1044026,384659
48801CNTCH205NG,5,843853,432427
3835WHXSNL795TE,4,,
98930SHNNS702WA,10,1195508,461544
17756YNGND16PAI,3,764740,411200
40475YSNCX145HI,4,841620,374422
85017HRTGG2926N,9,1120720,333035
61201WHLRC81092,5,903700,412500
02780BJMFG55CON,1,710755,415705
67460CRTNT500WE,7,974000,382230
03818YLDHS71HOB,1,710830,445820
77571HMSTD12415,6,950224,294121
60131DHSVS3429N,5,875436,415623
77704HLNLB1530L,6,940900,300500
22630QRLSP195CO,3,781128,385525
06795THHMN150CA,1,730523,413630
00767HMSPH130CA,2,655159,181958
90670FNLNP12234,9,1180348,305703
07029HNKLHFIRST,2,740952,404433
86001WSCNS1600E,9,1113755,351133
19904FRSTS1280W,3,753253,390904
01104STRMS160CO,1,723252,420924
46219FRDMT6900E,5,860255,394550
49058HSTNGPOBOX,5,851832,423831
01752RTDYN33HAY,1,713549,421926
01453GRYCHPIONE,1,714230,423158
85226HRSNC301NR,9,1115701,331830
46107WSTVC6302C,5,860225,394242
78758XTLCR2105G,6,974225,302355
95054GGMRP2175M,9,1215849,372232
38111CCCLB499SO,4,900000,350000
5260WSLGNC3725D,7,0,0
7505WZHNRC286AL,6,,
50613JHNDR6725C,7,922528,422852
60650DNLYM2115S,5,874531,415327
76710WYRHS4920F,6,971023,313105
80501LFRGW272ST,8,1045937,400935
31002CVLRNHWY80,4,823448,323217
44139LLNTL30500,5,812740,412240
15024RDLND375RI,3,795030,403330
51107JHNMR1200B,7,962323,422828
75042GRLND3606A,6,964108,325427
80525WDWRD1000E,8,1050336,403316
27292HNRYLBROW1,4,801700,354735
5276WTCCMS251PE,7,,
97503RYLKN7930A,10,1225151,422525
12303JHNMR310WA,2,424526,735615
30904JHNPK1701G,4,815925,332910
90620PRKRC5640K,9,1180030,335230
68601PPLTN2500E,7,971728,412619
18472SPCNN357EA,3,0,0
56345HNNPN100SW,5,942049,455656
07008SHLND350RO,2,741500,403000
37744LMNMF1611I,4,824900,361130
94577HRBRN1900M,9,1221017,374234
11232GLXCN3334T,2,735700,403900
0478WMCCRM2326P,1,,
07057HMPLCFOOTO,2,740000,400000
15601HMPFL1025S,3,792448,401709
56362WTJTN114IN,5,944226,452305
80631MNFRT920N7,8,1044116,402637
38372PRRSM708EA,4,881302,351447
73090KLHMBRT1BO,6,975730,352500
31024HRTNH101IN,4,832233,331808
53092PRMDG5201D,5,875840,431225
53012LMNMNW60N1,5,875906,431655
19007DNMRC145WH,3,745256,400703
3640WKNDNL175IN,4,0,0
46507KWNRR1151B,5,854846,414241
53211LNNWD3000N,5,875200,430421
98595MRNSS1804N,10,0,0
81503CLRDC56924,8,1083611,390116
01844GRPHC55CHA,1,711105,424352
39046HCKRY451CO,4,900026,323705
85283MSSNF5860S,9,1115632,332216
04457LNCLNKATAH,1,683115,452215
75236MSSNF4000D,6,965456,324151
38231TLNTC560AT,4,882543,361205
53144MYRMT56249,5,0,0
53051PJKFNN57W1,5,880450,430712
48170CYGNT45889,5,832915,422315
24151FLTWDHWY40,3,795404,365922
70059HYWLK800PE,6,900438,295400
19440PNNCL2755B,3,751750,401740
02760THMSB452JO,1,711754,415909
97210DRWPN1525N,10,1224150,453203
47454SMTHP313WI,5,862922,383200
02914MBLLS1001W,1,712059,414710
43311THRMD1301W,5,,
94063RYCHMOAKSI,9,1221230,372845
19446RXHTT8THST,3,751727,401521
92108QLNSN9966S,9,1170902,324208
43138SLKCK33828,5,822341,393248
19457TYLRNANDER,3,753529,401230
03062TRDYN4PITT,1,712921,424421
71457TRSJS234IN,6,930537,314805
03222FRDNBPOBOX,1,714730,433450
58402HYBSTHWY28,8,984230,465155
04769NRTHSSKYWA,1,680011,464142
60623CRWFR3501S,5,874323,414940
29304MRDHSOLDUN,4,815000,345000
47131KTCHNPOBOX,5,854411,381708
72032DTCND605EA,6,922631,350519
96732HWWDP356HA,9,1562830,205400
61021DMNCK1309W,5,892910,415020
02127CSTLL900EF,1,710138,422020
8943WRNKRR999MA,9,,
57107TMNTR3509T,8,964621,433351
53151WNTHD16300,5,880541,425949
17815HNZPT6670L,3,762056,410133
53223HNZWS11500,5,880316,433046
04841FMCCRCROCK,1,690619,440627
15202HKNCN2150R,3,800453,402634
53154KCRKW170WD,5,875113,425230
49548MDSTT7750S,5,853945,424941
90680HLWYC11262,9,1172835,321025
23231HNRCH2800C,3,772105,373000
56342MRTNT320HE,5,932804,460823
05902THNLLMAINS,1,713015,450040
19153XXNPH6850E,3,751315,395425
07002BYNNL1AVEJ,2,740615,403915
42303LMRSM4301U,4,870339,374739
45204PRRFR9990P,5,842750,391804
83854PSPHL2732N,10,,
90262CSTMN2990M,9,874713,335541
32724LMSHL725SU,4,811704,290359
54601DVNCD200CA,5,911520,434828
50401GPRCS16051,7,931130,430920
4104WRLDYN315KU,4,,
14304NRTNW6600W,2,785547,430617
12550MRDHS590RI,2,735900,413330
31901RYLCR2429V,4,845700,322600
